filename,thread_date,domain,status,priority,key_facts,canonical_file,action_required,last_verified,notes
BEUNASSIGNED_20260317_MIXED_capability-map-fabrication-correction.md,2026-03-17,AI-WORKFLOW-RULES,draft,1,,"CTRL-YOU-STATUS, AI-WORKFLOW-RULES, FINANCIAL-SNAPSHOT (correction only), BRAINOS-SYSTEM",,,Same thread as BrainEntry006 — this entry is more structurally rigorous; during vault build declare one canonical and supersede the other; cross-reference Entry 006
BEUNASSIGNED_20260416_PROJECT_kray-studios-n8n-automation-workflow.md,2026-04-16,YOUTUBE-CONTENT,IDEATION,2,,BRAINOS-SYSTEM.md,,,Companion to Rows 37 and 39; reconcile with BrainEntry008 before finalizing; Procreate Dreams differentiator is canonical
BEUNASSIGNED_20260416_SKILL_foam-sculpting-finishing-reference.md,2026-04-16,SKILLS-EDUCATION,IDEATION,3,,BRAINOS-SYSTEM.md,,,Cross-reference garage audit Row 32 — foam blocks physically present; no purchases confirmed
BEUNASSIGNED_20260416_SKILL_video-sourcing-academy-lab.md,2026-04-16,YOUTUBE-CONTENT,IDEATION,3,,BRAINOS-SYSTEM.md,,,Cross-link with Rows 38 and 39 — all three April 16 entries cover n8n video sourcing and should be merged or unified
BE[UNASSIGNED]_20260416_TOOL_n8n-video-pipeline-setup.md,2026-04-16,AI-WORKFLOW-RULES,IDEATION,2,,BRAINOS-SYSTEM.md,,,Companion to Rows 37 and 38; N8N-AUTOMATION-PIPELINE.md flagged as warranted — pending Brayden confirmation
BE_OpenSource_011.md,2026-04-05,BRAINOS-SYSTEM,SUPERSEDED,1,,DEVICE-ECOSYSTEM.md,,,2026-04-25
BrainOS-Open-Questions-Worksheet.md,2026-04-17,BRAYDEN-IDENTITY,CANONICAL,1,,BRAYDEN-IDENTITY.md,,,Answers as of April 17 2026; some answers contain important behavioral notes captured below
Brain_Entry_001.md,2026-04-10,BRAINOS-SYSTEM,SUPERSEDED,3,,BRAINOS-SYSTEM.md,,,Notion tried and rejected here — do not include Notion in any future tool lists
Brain_Entry_002.md,2026-04-10,AI-WORKFLOW-RULES,ACTIVE,1,,AI-WORKFLOW-RULES.md,,,CtrlYou store wipe decision documented here — context for why store was reset to Shopify default
Brain_Entry_003.md,2026-03-06,ONLINE-BUSINESS,SUPERSEDED,3,,ACTIVE-PROJECTS.md,,,Domain ctrlplusyou.com confirmed live; brand vibes and TikTok handle survive into later pivot
Brain_Entry_004.md,2026-03-17,ONLINE-BUSINESS,ACTIVE,2,,ACTIVE-PROJECTS.md,,,Logged April 10 from March 17 thread — out of chronological order; companion to BEUNASSIGNED_20260317 which is more detailed; during vault build declare one canonical
Brain_Entry_005.md,2026-03-18,SKILLS-EDUCATION,CANONICAL,1,,BRAYDEN-IDENTITY.md,,,Supersedes BEUNASSIGNED_20260221 for enrollment specifics; consistent with Entry 007 Track 5; HVAC silently dropped — confirmed eliminated in Open Questions worksheet
Brain_Entry_006.md,2026-03-17,AI-WORKFLOW-RULES,ACTIVE,1,,AI-WORKFLOW-RULES.md,,,Same thread as BEUNASSIGNED-20260317-MIXED — declare one canonical during vault build; employer name error (GoodLife Fitness) corrected by Entry 007
Brain_Entry_007.md,,,,,,,,,
Brain_Entry_008.md,2026-03-19,YOUTUBE-CONTENT,ACTIVE,2,,BRAINOS-SYSTEM.md,,,clip workflow) in Obsidian
Brain_Entry_009.md,2026-03-19,YOUTUBE-CONTENT,ACTIVE,1,,BRAYDEN-IDENTITY.md,,,Companion to BrainEntry008; same March 19 session; Extension A (formative background
Brain_Entry_010.md,2026-04-11,BRAINOS-SYSTEM,"canonical — source of truth for device inventory, open-source AI stack, and Obsidian setup sequence",1,,"AI-WORKFLOW-RULES, BRAINOS-SYSTEM, SKILLS-EDUCATION, BRAYDEN-IDENTITY (device specs)",,,Overlaps significantly with BE_OpenSource_011.md — both cover April 5-11 device setup; during vault build treat Brain_Entry_010 as canonical and BE_OpenSource_011 as supplementary or merge them
